qnum,question,section,mean,median,std,pct_5,pct_4_5,pct_1_2,n_zero,n_valid
1,Potrafię swobodnie pracować w Jupyterze / Colabie,Python / programowanie,3.36,3.0,1.2871156384205213,24.0,48.0,28.000000000000004,0,25
2,"Rozumiem podstawowe typy danych w Pythonie (listy, słowniki, tuple, sety)",Python / programowanie,4.08,4.0,0.9092121131323904,40.0,72.0,4.0,0,25
3,Potrafię pociąć string (przez split) do listy.,Python / programowanie,4.04,4.0,0.9345230512584125,36.0,76.0,8.0,0,25
4,Potrafię programować obiektowo w pythonie,Python / programowanie,3.6,4.0,1.0408329997330663,24.0,52.0,16.0,0,25
5,Potrafię pisać funkcje i używać parametrów / wartości zwracanych,Python / programowanie,4.28,4.0,0.8426149773176358,48.0,84.0,4.0,0,25
6,Potrafię samodzielnie debugować prosty błąd,Python / programowanie,4.0,4.0,1.0408329997330663,40.0,72.0,12.0,0,25
7,"Potrafię korzystać z dokumentacji biblioteki, aby znaleźć potrzebną funkcję",Python / programowanie,4.28,5.0,0.8906926143924926,52.0,80.0,4.0,0,25
8,Rozumiem różnicę między pętlą a podejściem bardziej 'wektorowym' / operacjami na kolekcjach,Python / programowanie,3.8,4.0,1.0801234497346432,32.0,60.0,8.0,0,25
9,Potrafię utworzyć tablicę NumPy i wykonywać na niej podstawowe operacje,NumPy / pandas / wizualizacja,3.52,4.0,1.2948616399703354,32.0,52.0,28.000000000000004,0,25
10,"Rozumiem kształt danych (shape), indeksowanie i slicing w NumPy",NumPy / pandas / wizualizacja,2.92,3.0,1.255653880122491,12.0,32.0,36.0,0,25
11,Potrafię filtrować i wybierać dane w pandas DataFrame,NumPy / pandas / wizualizacja,2.96,3.0,1.3063945294843617,16.0,32.0,36.0,0,25
12,Potrafię użyć groupby / agregacji w pandas,NumPy / pandas / wizualizacja,2.56,2.0,1.2935738607954836,8.0,28.000000000000004,56.00000000000001,0,25
13,Potrafię łączyć tabele / ramki danych (merge / join) w pandas,NumPy / pandas / wizualizacja,2.52,2.0,1.2948616399703354,12.0,20.0,56.00000000000001,0,25
14,Potrafię wykrywać i obsługiwać braki danych,NumPy / pandas / wizualizacja,2.68,3.0,1.3140268896284684,8.0,32.0,48.0,0,25
15,"Potrafię przygotować prosty wykres (histogram, scatter, line, bar)",NumPy / pandas / wizualizacja,3.4,4.0,1.4433756729740645,32.0,52.0,32.0,0,25
16,Rozumiem składnię SELECT / WHERE / ORDER BY,SQL / relacyjne bazy,4.6,5.0,0.6454972243679028,68.0,92.0,0.0,0,25
17,Rozumiem GROUP BY i podstawowe agregacje SQL,SQL / relacyjne bazy,4.52,5.0,0.6531972647421808,60.0,92.0,0.0,0,25
18,Rozumiem różnicę między JOINami (INNER / LEFT) na poziomie praktycznym,SQL / relacyjne bazy,4.24,4.0,0.7788880963698616,44.0,80.0,0.0,0,25
19,"Rozumiem pojęcie klucza głównego, klucza obcego i granularności danych",SQL / relacyjne bazy,4.2,4.0,0.7071067811865476,36.0,84.0,0.0,0,25
20,"Rozumiem średnią, medianę, odchylenie standardowe i wariancję",Matematyka i statystyka,4.36,5.0,0.7571877794400365,52.0,84.0,0.0,0,25
21,Rozumiem pojęcia percentyl / kwartyl / rozkład,Matematyka i statystyka,3.76,4.0,0.7788880963698616,16.0,64.0,4.0,0,25
22,"Rozumiem, czym jest korelacja i dlaczego nie oznacza przyczynowości",Matematyka i statystyka,3.96,4.0,0.8888194417315588,28.000000000000004,76.0,8.0,0,25
23,"Rozumiem, czym jest kowariancja",Matematyka i statystyka,2.96,3.0,1.019803902718557,8.0,28.000000000000004,36.0,0,25
24,Rozumiem intuicję prawdopodobieństwa warunkowego,Matematyka i statystyka,3.52,4.0,1.2288205727444508,24.0,56.00000000000001,20.0,0,25
25,"Rozumiem, czym jest próbkowanie i skąd bierze się błąd estymacji",Matematyka i statystyka,3.28,3.0,1.173314393786536,20.0,40.0,28.000000000000004,0,25
26,Rozumiem intuicję funkcji liniowej i nachylenia,Matematyka i statystyka,3.72,4.0,1.307669683062202,40.0,56.00000000000001,16.0,0,25
27,Rozumiem różnicę między funkcją liniową a kwadratową,Matematyka i statystyka,4.52,5.0,0.714142842854285,64.0,88.0,0.0,0,25
